"","SRR1408848","SRR1408849","SRR1408850","SRR1408851","SRR1408852","SRR1408853","SRR1408854","SRR1408855"
"Slc44a2",275,222,307,315,248,359,182,179
"Slc44a3",4,0,0,0,3,0,0,0
"Slc44a4",9,0,2,0,8,6,0,0
"Slc44a5",47,125,75,72,74,78,197,152
"Slc45a1",246,216,70,70,305,348,92,41
"Slc45a2",1,0,0,0,9,0,0,2
"Slc45a3",4,0,7,0,0,2,5,1
"Slc45a4",414,402,279,247,330,510,312,290
"Slc46a1",18,8,7,6,6,42,2,9
"Slc46a3",118,90,115,98,85,80,102,81
"Slc47a1",0,0,73,0,0,2,7,2
"Slc48a1",1580,1421,1236,718,1210,1680,1192,682
"Slc49a4",956,887,1106,1013,792,1057,1018,827
"Slc4a1",1,0,1,0,0,0,1,0
"Slc4a10",3455,3828,4390,3844,4013,4090,5987,4506
"Slc4a11",41,17,11,7,10,33,19,3
"Slc4a1ap",432,497,418,363,345,465,431,420
"Slc4a2",108,83,57,28,51,85,32,29
"Slc4a3",509,474,189,154,547,710,233,145
"Slc4a4",2480,1711,4787,2019,1491,2163,2021,2723
"Slc4a5",0,0,1,0,0,0,0,0
"Slc4a7",180,138,227,220,148,243,305,248
"Slc4a8",1270,1398,1332,1096,1331,1313,1815,1483
"Slc50a1",110,57,87,83,83,152,21,24
"Slc52a2",73,73,17,20,94,110,35,31
"Slc52a3",27,10,19,4,13,18,7,11
"Slc5a11",0,1,7,3,0,5,1,1
"Slc5a12",1,0,0,0,11,11,7,2
"Slc5a3",635,667,980,524,815,570,820,921
"Slc5a4a",0,0,0,0,1,0,0,0
"Slc5a4b",0,0,0,2,0,0,0,0
"Slc5a5",91,37,53,81,59,160,36,47
"Slc5a6",165,155,152,117,159,162,126,148
"Slc5a7",21,21,70,15,30,25,39,21
"Slc5a8",0,1,0,0,0,0,7,0
"Slc66a1",124,95,53,35,100,125,45,58
"Slc66a2",85,143,65,63,101,141,62,33
"Slc6a1",4226,3927,3523,2451,3240,4027,2383,2493
"Slc6a11",1776,1668,1912,1059,1428,1871,1583,1085
"Slc6a12",10,10,9,17,8,0,0,2
"Slc6a13",89,49,80,49,48,88,17,67
"Slc6a15",638,789,908,1107,659,966,1487,1190
"Slc6a16",1,7,4,1,18,8,14,10
"Slc6a17",6626,7448,4825,4987,7383,8389,7184,4776
