"","SRR8809606","SRR8809607","SRR8809608","SRR8809609","SRR8809610","SRR8809611","SRR8809612","SRR8809613","SRR8809614","SRR8809615","SRR8809616","SRR8809617","SRR8809618","SRR8809619","SRR8809620","SRR8809621","SRR8809622","SRR8809623","SRR8809624","SRR8809625","SRR8809626","SRR8809627","SRR8809628","SRR8809629","SRR8809630","SRR8809631","SRR8809632","SRR8809633","SRR8809634","SRR8809635","SRR8809636","SRR8809637","SRR8809638","SRR8809639","SRR8809640","SRR8809641","SRR8809642","SRR8809643"
"Usp35",0,20,0,9,2,64,0,0,1,0,131,0,1,2,11,6,48,0,45,4,3,18,92,165,19,0,0,0,64,0,195,0,14,21,0,304,21,64
"Usp36",16,79,453,277,866,143,347,2,635,511,87,7,408,58,752,218,167,291,359,322,26,346,308,265,214,451,1,0,145,241,556,7,316,461,14,0,1431,32
"Usp37",5,39,167,0,18,22,1,157,811,834,1052,159,341,228,369,714,244,128,530,438,60,608,350,54,107,0,216,2,19,731,2001,0,78,417,13,384,17,253
"Usp38",121,0,441,75,254,302,266,21,183,517,232,36,64,424,12,296,1,24,199,686,52,216,238,34,18,0,17,858,27,0,594,1,24,54,166,457,0,377
"Usp39",953,204,255,1,0,252,15,2,241,361,1598,143,334,148,290,300,0,1,769,881,2,376,830,124,0,373,0,0,0,83,315,1,61,0,3,1001,0,136
"Usp4",196,104,436,173,339,470,424,451,1702,984,1107,47,971,1248,88,987,270,135,1974,3960,117,491,1216,218,6,1032,3,0,21,1574,705,36,57,48,33,1073,58,669
"Usp40",0,0,493,213,0,2036,189,30,740,60,0,1051,591,215,171,459,2,312,578,0,402,546,820,839,11,25,0,78,0,59,105,0,370,0,0,19,0,227
"Usp42",423,58,288,186,16,539,842,483,0,305,397,127,528,118,13,485,0,67,251,249,33,373,327,198,15,0,5,0,0,675,0,0,99,25,721,380,0,0
"Usp43",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Usp44",0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,7,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Usp45",680,150,201,40,20,138,43,267,161,13,76,67,225,493,25,637,1097,31,6,449,7,43,112,811,76,195,115,3,7,357,230,36,40,57,25,0,50,181
"Usp46",570,10,314,94,0,506,590,213,177,876,549,185,89,637,456,473,147,696,2738,590,41,287,777,6,235,61,53,1532,1671,2313,7,22,150,338,27,788,35,253
"Usp46os1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Usp47",153,103,771,72,38,880,2,872,477,684,1089,2267,736,1484,1102,1245,15,354,1305,230,31,400,1548,211,124,189,18,1,2729,12,590,2,60,11,122,177,183,1568
