"PRJNA252803__1","PRJNA252803__2","PRJNA529794__1","PRJNA529794__2","PRJNA252803_fc","PRJNA529794_fc","group_num"
60.7675,57.9525,23.6971428571429,21.1366666666667,-1.05,-1.12,"group_10277"
78.995,74.9725,32.6028571428571,33.0641666666667,-1.05,1.01,"group_10278"
15.4333333333333,20.8991666666667,0.379761904761905,1.18069444444444,1.35,3.11,"group_1028"
153.42,168.3825,4.85214285714286,5.34833333333333,1.1,1.1,"group_10280"
8.9075,12.9875,0.346428571428571,0.48625,1.46,1.4,"group_10281"
24.1175,20.36,5.12785714285714,3.0575,-1.18,-1.68,"group_10283"
37.46,28.6675,10.5957142857143,3.25083333333333,-1.31,-3.26,"group_10284"
9.7525,14.15,5.16428571428571,7.80791666666667,1.45,1.51,"group_10285"
9.6925,9.4675,1.41428571428571,1.24666666666667,-1.02,-1.13,"group_10286"
8.865,12.0125,0.39,0.92375,1.36,2.37,"group_10287"
11.3675,15.405,3.41678571428571,7.37604166666667,1.36,2.16,"group_10288"
15.8275,13.865,4.03857142857143,5.63666666666667,-1.14,1.4,"group_10289"
12.2175,15.33,0.635,0.347916666666667,1.25,-1.83,"group_1029"
19.67,18.8125,0,0.35375,-1.05,Inf,"group_10290"
18.9325,13.78,0.226071428571429,0.419583333333333,-1.37,1.86,"group_10291"
7.0275,8.1125,0,0.522083333333333,1.15,Inf,"group_10292"
12.56,14.1725,6.25,9.61166666666667,1.13,1.54,"group_10293"
21.1325,19.9025,13.9457142857143,18.62875,-1.06,1.34,"group_10294"
11.3775,14.775,2.34357142857143,3.01708333333333,1.3,1.29,"group_10295"
11.7,15.7975,4.91857142857143,8.00833333333333,1.35,1.63,"group_10296"
158.87,169.95,36.2685714285714,32.2566666666667,1.07,-1.12,"group_10297"
20.5,23.8025,0.0414285714285714,0.874166666666667,1.16,21.1,"group_10298"
14.58,13.23,2.32571428571429,3.14708333333333,-1.1,1.35,"group_10299"
9.7805,13.048,0.703730158730159,1.52287037037037,1.33,2.16,"group_103"
26.8625,30.5175,2.04035714285714,4.39666666666667,1.14,2.15,"group_1030"
13.4575,12.315,0.979285714285714,3.28145833333333,-1.09,3.35,"group_10300"
53.265,56.8625,12.1592857142857,12.19,1.07,1,"group_10301"
13.2625,13.105,1.98071428571429,2.34291666666667,-1.01,1.18,"group_10302"
44.035,53.545,61.0114285714286,65.6429166666667,1.22,1.08,"group_10303"
17.0975,23.0725,0.302142857142857,3.74458333333333,1.35,12.39,"group_10304"
9.51125,8.70625,0.8975,3.03927083333333,-1.09,3.39,"group_1031"
10.98625,11.4425,4.19142857142857,3.5575,1.04,-1.18,"group_1032"
6.96,10.06625,4.47785714285714,2.97583333333333,1.45,-1.5,"group_1033"
5.23,9.8125,0.697142857142857,0.227916666666667,1.88,-3.06,"group_1034"
11.0625,8.70625,1.65714285714286,3.13555555555556,-1.27,1.89,"group_1035"
13.0025,14.17,1.47714285714286,2.45208333333333,1.09,1.66,"group_1036"
14.72,19.0425,1.92107142857143,3.10958333333333,1.29,1.62,"group_1037"
13.35875,11.155,0.232857142857143,1.15541666666667,-1.2,4.96,"group_1038"
26.4941666666667,30.015,10.8007142857143,14.7938888888889,1.13,1.37,"group_1039"
8.03,9.76375,2.5652380952381,4.69138888888889,1.22,1.83,"group_104"
11.596875,10.2125,3.92285714285714,1.82291666666667,-1.14,-2.15,"group_1040"
40.615,39.525,2.64595238095238,3.87152777777778,-1.03,1.46,"group_1042"
9.0325,9.2625,1.00357142857143,4.48208333333333,1.03,4.47,"group_1043"
19.7925,16.6525,1.22,2.3525,-1.19,1.93,"group_1044"
9.2775,5.6525,0.00357142857142857,0.802083333333333,-1.64,224.58,"group_1045"
6.2475,7.545,1.50261904761905,3.16486111111111,1.21,2.11,"group_1046"
11.49,9.87,3.05714285714286,5.3375,-1.16,1.75,"group_1048"
9.575,8.07,0.375714285714286,2.48541666666667,-1.19,6.62,"group_1049"
10.77,10.845,0.844107142857143,0.9284375,1.01,1.1,"group_1050"
15.205,16.95875,3.42125,3.1290625,1.12,-1.09,"group_107"
22.545,26.80125,2.9525,6.03760416666667,1.19,2.04,"group_108"
21.8625,24.63,0.939523809523809,2.62958333333333,1.13,2.8,"group_1080"
14.23,12.4375,4.52,6.56083333333333,-1.14,1.45,"group_1081"
37.93,35.27,7.12571428571429,14.2766666666667,-1.08,2,"group_1082"
7.32375,11.3075,2.94428571428571,3.08208333333333,1.54,1.05,"group_1083"
13.24625,13.89625,0.579285714285714,3.27291666666667,1.05,5.65,"group_1084"
17.210625,18.455625,0.910857142857143,2.57958333333333,1.07,2.83,"group_1085"
30.645,30.66625,4.93285714285714,11.1,1,2.25,"group_1086"
11.44875,15.4575,19.0785714285714,22.325,1.35,1.17,"group_1087"
14.8725,17.90875,1.42571428571429,1.16125,1.2,-1.23,"group_1088"
16.935,15.735,1.27142857142857,2.17625,-1.08,1.71,"group_1089"
7.72416666666667,11.9641666666667,0.628265306122449,1.5297619047619,1.55,2.43,"group_109"
13.98375,15.9925,1.49267857142857,1.59010416666667,1.14,1.07,"group_1090"
286.701666666667,302.231666666667,21.3030357142857,27.2341666666667,1.05,1.28,"group_1091"
7.37875,6.8775,4.70285714285714,9.84125,-1.07,2.09,"group_1092"
23.310625,23.559375,1.77794642857143,3.16885416666667,1.01,1.78,"group_1093"
42.66125,43.8525,3.83821428571429,11.5141666666667,1.03,3,"group_1094"
52.6475,59.2825,1.73321428571429,3.380625,1.13,1.95,"group_1095"
11.0375,18.2375,0.0225,0.202708333333333,1.65,9.01,"group_1096"
64.7275,63.43,7.00642857142857,7.52013888888889,-1.02,1.07,"group_1097"
24.6775,25.8975,1.40785714285714,2.935,1.05,2.08,"group_1098"
34.74625,35.46875,1.46125,2.18354166666667,1.02,1.49,"group_1099"
15.8085,17.7075,0.84375,2.12088541666667,1.12,2.51,"group_11"
