,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Cox4i1,3021.35417344315,-0.931304196255361,0.254894270147456,-3.65368823597566,0.000258500118604052,0.000258500118604052
Afmid,18.9495767870978,5.98392524154923,1.63914920633185,3.65062876426015,0.000261599120660902,0.000261599120660902
Tm2d1,140.098727638621,-1.62046470235644,0.443979229512306,-3.64986601768839,0.000262377128847262,0.000262377128847262
Rpl31,228.131109314751,-1.14313740815203,0.31332525955003,-3.6484048869654,0.000263873556721693,0.000263873556721693
Gm51742,10.2169410442302,5.40704947298426,1.48413746854941,3.6432268489718,0.000269241351700619,0.000269241351700619
Gm32133,34.8859734756311,5.13268632396534,1.4091437749615,3.64241492966577,0.000270092250503487,0.000270092250503487
Mphosph9,148.306298937009,2.61736157715896,0.718823111091817,3.6411761624963,0.000271395347814396,0.000271395347814396
Gm36572,13.3971208963083,5.28297703632431,1.45185596808291,3.63877488708483,0.000273938122743408,0.000273938122743408
Atg16l2,36.352392745202,2.87363708305063,0.789874974321824,3.63809106057309,0.000274666319411292,0.000274666319411292
Cdr2l,13.3290142105244,7.88956099603855,2.1690220999431,3.63738156298432,0.000275423770180407,0.000275423770180407
Sbf2,249.042726692858,2.14552277801817,0.589962596735917,3.63670983531617,0.000276142701945024,0.000276142701945024
Aste1,62.2501227402388,3.89383550599604,1.0708833368587,3.63609682957445,0.000276800319686229,0.000276800319686229
E130309D02Rik,31.7674762322252,4.34673808473916,1.19551648914421,3.63586627554647,0.000277048032052045,0.000277048032052045
Calr,1246.87452432176,-0.801779792576505,0.220632005535644,-3.63401398011121,0.000279045731917762,0.000279045731917762
Gm38504,144.95652904745,-2.702517396725,0.743954136223386,-3.63263978938821,0.000280536509354335,0.000280536509354335
Gm26777,38.626204217441,3.1515289140721,0.868171857735072,3.63007495116688,0.000283338932624194,0.000283338932624194
Greb1l,59.0047018691109,3.71220237701631,1.0227676452796,3.62956571235835,0.00028389845488613,0.00028389845488613
Gm36127,15.2221851006588,5.06413655201039,1.39586080115589,3.62796673408757,0.000285662056193298,0.000285662056193298
Gm40573,19.7902608882913,6.3514106976918,1.75223433580673,3.62474959421887,0.000289241563346236,0.000289241563346236
Gm29483,6.72498212512659,5.80726556364464,1.60439907623301,3.61958919677242,0.000295071087697355,0.000295071087697355
Ly6g5b,11.5635291234408,6.57777133613789,1.81752827454105,3.61907510781303,0.000295657825336878,0.000295657825336878
