,logFC,logCPM,LR,PValue
Cybrd1,-0.954699217462662,2.83905196580727,5.84378820966324,0.015632135479647
Paqr5,-0.951014003088747,2.24194930160655,3.97568614739821,0.0461616426124163
Casq2,-0.949567239674445,1.92768246382248,4.25507563962225,0.0391332053369901
Rtkn2,-0.947652483944221,2.1052899972627,4.45620213349344,0.0347747318842941
Pros1,-0.946855452415367,4.6985899157519,17.8383885079912,2.40482230266788e-05
Slc38a11,-0.94397570209072,2.94240877211173,6.74285376521609,0.00941239400174623
Tmem254a,-0.943219381750894,5.18423267655661,6.37553437348165,0.0115704197643358
Slc2a12,-0.940177684516584,2.33514660041446,5.31698239038538,0.0211185526701158
Clec14a,-0.933983494454656,1.76635832745228,3.91265931600558,0.0479237075068092
Gng11,-0.927079756589998,3.59578989596326,7.0261408365337,0.00803282785295416
Pde7b,-0.922980891281911,5.35909972644623,8.56268664540997,0.00343122690314458
A530058N18Rik,-0.920187430573739,2.32901514138127,3.96369044188146,0.0464916714581162
Bmp6,-0.918670112617486,3.39828709721787,5.68336063442372,0.0171265331801132
Col4a1,-0.912742295952667,3.37669463823258,5.50765743948461,0.0189333891072106
Phldb1,-0.908822669958293,3.47913776721411,7.07656377945519,0.00780986330834716
Gpr62,-0.9075745580339,2.80964393211023,7.31123686840959,0.0068524744987468
Olig2,-0.904158861728727,3.44702396505948,6.73033228677205,0.0094786940581829
Tcf7l2,-0.901956530091937,2.27741221993044,3.89430541652952,0.0484500694511887
Aif1,-0.90142772897438,2.7803331583485,5.73759797706012,0.0166054865935631
Prelp,-0.901346513147005,4.26078332899006,9.58643970287553,0.00196019673621537
Nid1,-0.898940279782605,3.78192568533758,6.0655531514067,0.013784357534245
Cdr1,-0.898763867517919,3.72091129643459,6.60457849096398,0.010171687928525
Neu4,-0.898511589779432,2.76108618556384,6.70092369929031,0.00963629766927287
Fcgrt,-0.892959192816446,3.25573730078835,4.71991922405136,0.0298151436846962
Tm4sf1,-0.890153485408753,4.22477536334685,6.59873939840357,0.0102050995128377
Dhrs4,-0.885531301075967,2.57598234387554,5.2954182808305,0.021381595296354
E430024I08Rik,-0.884632873992364,2.69279367324533,5.73560796242867,0.0166243123075862
Qtrt2,-0.882273108288084,3.32882857099815,9.29724554965716,0.00229498656614869
Gm5089,-0.870318993252194,2.23167457573538,4.03617894033551,0.0445345487710157
Casp8,-0.865354312484844,2.29266730715319,4.4071304532456,0.0357889954730975
2500004C02Rik,-0.861747783764665,3.06922596980545,5.26696137473713,0.0217339187076459
Atp5l,-0.858141477018022,2.37739000631263,4.33187908830689,0.0374049301545271
Gm1943,-0.855014038728069,2.74022903872257,5.35521080800999,0.0206604364403092
Lcat,-0.854186836045,3.86847419272886,4.30299235938303,0.0380453759328262
Pantr1,-0.853291771570236,6.40834538000684,23.0993606909264,1.53841842532138e-06
Spata33,-0.844381883505089,2.20305682779674,4.38003050483336,0.0363623466511305
Zfp52,-0.841723103350473,2.16462118798479,3.94438997256971,0.0470279017379081
Heph,-0.838724562091663,2.70685948202714,5.44899852521892,0.019579547619164
Thbd,-0.837128123886401,3.96806574955767,8.40914105483528,0.00373339009304944
Tgm2,-0.836259462289631,3.4866396169649,8.28342475842871,0.00400085973439567
TrnP,-0.836119938891252,5.9842132358154,8.11202957057503,0.00439724669914372
Cyyr1,-0.830359682993538,2.84213080703718,4.8431585963523,0.0277560117405503
Arsg,-0.830068311187114,3.45369690908231,4.43705531979478,0.0351668533697775
Inhbb,-0.827372670671981,2.98505966722167,6.2187614287966,0.0126403509536398
Pik3cg,-0.821926587537153,2.30891587565073,4.18279786099575,0.0408362329893012
Spag1,-0.820031853205222,2.83243735109923,4.63447812547893,0.0313356732484482
Stom,-0.814484487722665,4.28327954979383,8.48099143786371,0.00358876466557502
Rflnb,-0.813586422853035,3.50666341525244,6.67377251252382,0.0097841871497158
Fgf2,-0.813429331136779,2.96530915860086,5.60465497192061,0.0179128220216025
Sod3,-0.807498862840444,3.03119404754531,4.56083283414031,0.0327111628984936
Aldh1a2,-0.806881272053939,3.41718731390705,4.14314099601447,0.0418035331776511
Ankrd54,-0.805133027448492,2.45200130920252,3.95059405665894,0.0468548243199795
Cldn5,-0.803066861823509,3.50674693903561,6.23390460859282,0.0125327090458052
Tmem170,-0.799819592352461,2.40720020352217,4.0721793065043,0.0435949952334457
Gas1,-0.795120230804753,3.46764019065855,6.48354476259676,0.0108877637757898
Zfp36l1,-0.79145371008952,4.44052707533769,8.16381993494117,0.00427342693963786
Nde1,-0.790829369538805,3.80938525938787,5.51215287446015,0.0188847876651766
Slc25a40,-0.789543645249671,3.23234169304419,5.67509850992297,0.017207373589189
Rbm41,-0.786605716487755,3.3514965822043,6.37316517668395,0.0115858766084232
Abca9,-0.786368881888113,4.06349589333475,9.87337937154655,0.0016768723211731
Eci1,-0.784095863134121,3.43664582687579,6.11756412805551,0.0133845113522322
Rnpc3,-0.780342328698757,2.67301962323016,4.73759585793738,0.0295102828339114
Tmem63a,-0.779003757598242,3.52380224379224,4.74230293935746,0.0294296507014975
Hps5,-0.778066224622714,3.29941417155516,4.95634564490225,0.0259950863836746
Sowahc,-0.777957151108937,3.96278322993729,7.98225948466528,0.00472379480540901
